 CC    0     1     2     3     4     5   
 k=0  0(0)  inf   inf   inf   inf   inf  
 k=1  0(0)  5(0)  inf   inf   inf   inf  
 k=2  0(1)  5(0)  4(1)  inf   0(1)  inf  
 k=3  0(4)  5(2)  4(1)  1(4)  0(1)  inf  
 k=4  0(1)  5(0)  2(3)  1(4)  0(1)  inf  
 k=5  0(1)  3(2)  2(1)  1(4)  -2(1)  inf  
 k=6  0(4)  3(2)  2(3)  -1(4)  -2(1)  inf  
 k=7  0(1)  3(2)  0(3)  -1(4)  -2(1)  inf  
 k=8  0(4)  1(2)  0(3)  -1(4)  -2(1)  inf  
 k=9  0(1)  1(2)  0(3)  -1(4)  -4(1)  inf  
 k=10  0(4)  1(2)  0(3)  -3(4)  -4(1)  inf  
