-------- Algorithme de Bellman --------
 CC    0     1     2     3     4   
 k=0  0(0)  inf   inf   inf   inf  
 k=1  0(0)  1(0)  4(0)  8(0)  13(0)
 k=2  -1(4)  1(0)  3(1)  6(2)  10(3)
 k=3  -1(4)  0(0)  3(0)  6(0)  10(0)
 k=4  -1(4)  0(0)  2(1)  5(2)  10(2)
 k=5  -1(4)  0(0)  2(1)  5(2)  9(3) 
 k=6  -2(4)  0(0)  2(1)  5(2)  9(3) 
 k=7  -2(4)  -1(0)  2(0)  5(0)  9(0) 
 k=8  -2(4)  -1(0)  1(1)  5(1)  9(1) 
 k=9  -2(4)  -1(0)  1(1)  4(2)  9(2) 
 k=10  -2(4)  -1(0)  1(1)  4(2)  8(3) 
 k=11  -3(4)  -1(0)  1(1)  4(2)  8(3) 
 k=12  -3(4)  -2(0)  1(0)  4(0)  8(0) 
 k=13  -3(4)  -2(0)  0(1)  4(1)  8(1) 
 k=14  -3(4)  -2(0)  0(1)  3(2)  8(2) 
 k=15  -3(4)  -2(0)  0(1)  3(2)  7(3) 
 k=16  -4(4)  -2(0)  0(1)  3(2)  7(3) 
 k=17  -4(4)  -3(0)  0(0)  3(0)  7(0) 
 k=18  -4(4)  -3(0)  -1(1)  3(1)  7(1) 
 k=19  -4(4)  -3(0)  -1(1)  2(2)  7(2) 
 k=20  -4(4)  -3(0)  -1(1)  2(2)  6(3) 
