-------- Algorithme de Bellman --------
 CC    0     1     2     3     4     5   
 k=0  0(0)  inf   inf   inf   inf   inf  
 k=1  0(0)  10(0) inf   inf   inf   6(0) 
 k=2  0(0)  8(5)  12(5) inf   7(5)  6(0) 
 k=3  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=4  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=5  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=6  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=7  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=8  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=9  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=10  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=11  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=12  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=13  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=14  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=15  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=16  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=17  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=18  0(0)  8(5)  10(5) inf   7(5)  6(4) 
 k=19  0(0)  8(5)  10(4) inf   7(5)  6(4) 
 k=20  0(0)  8(5)  10(5) inf   7(5)  6(4) 
