-------- Algorithme de Bellman --------
 CC    0     1     2     3     4     5   
 k=0  inf   inf   0(2)  inf   inf   inf  
 CC    0     1     2     3     4     5   
 k=0  inf   inf   inf   0(3)  inf   inf  
 k=1  1(3)  inf   3(3)  0(3)  4(3)  inf  
 k=2  1(3)  11(0) 3(4)  0(3)  4(3)  7(4) 
 k=3  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=4  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=5  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=6  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=7  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=8  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=9  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=10  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=11  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=12  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=13  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=14  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=15  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=16  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=17  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=18  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
 k=19  1(3)  9(5)  3(5)  0(3)  4(5)  7(4) 
 k=20  1(3)  9(5)  3(4)  0(3)  4(5)  7(4) 
